"table_schema	table_name	column_name	ordinal_position	data_type"
"useall_silver	atendimentodereq_silver	DESC_FILIAL	1	text"
"useall_silver	atendimentodereq_silver	ENDERECO_FILIAL	2	text"
"useall_silver	atendimentodereq_silver	CEP_FILIAL	3	text"
"useall_silver	atendimentodereq_silver	FAX_FILIAL	4	text"
"useall_silver	atendimentodereq_silver	FONE_FILIAL	5	text"
"useall_silver	atendimentodereq_silver	CPF_CNPJ_FILIAL	6	text"
"useall_silver	atendimentodereq_silver	INSC_ESTADUAL_FILIAL	7	bigint"
"useall_silver	atendimentodereq_silver	CIDADE_FILIAL	8	text"
"useall_silver	atendimentodereq_silver	UF_FILIAL	9	text"
"useall_silver	atendimentodereq_silver	DATA_ATEND	10	timestamp without time zone"
"useall_silver	atendimentodereq_silver	IDEMPREGADO_ATEND	11	bigint"
"useall_silver	atendimentodereq_silver	QUANT_ATEND	12	numeric"
"useall_silver	atendimentodereq_silver	IDEMPRESA	13	bigint"
"useall_silver	atendimentodereq_silver	IDFILIAL	14	bigint"
"useall_silver	atendimentodereq_silver	IDREQMAT	15	bigint"
"useall_silver	atendimentodereq_silver	NUMEROOS	16	bigint"
"useall_silver	atendimentodereq_silver	NUMEROPROCSERV	17	numeric"
"useall_silver	atendimentodereq_silver	NUMEROOP	18	text"
"useall_silver	atendimentodereq_silver	DATA_REQ	19	timestamp without time zone"
"useall_silver	atendimentodereq_silver	IDALMOX	20	bigint"
"useall_silver	atendimentodereq_silver	TIPO	21	boolean"
"useall_silver	atendimentodereq_silver	DESC_ALMOX	22	text"
"useall_silver	atendimentodereq_silver	IDREQUISITANTE	23	numeric"
"useall_silver	atendimentodereq_silver	REQUISITANTE	24	text"
"useall_silver	atendimentodereq_silver	SIGLA_UN	25	text"
"useall_silver	atendimentodereq_silver	IDITEM	26	bigint"
"useall_silver	atendimentodereq_silver	IDENTIFICACAO	27	text"
"useall_silver	atendimentodereq_silver	DESCRICAO	28	text"
"useall_silver	atendimentodereq_silver	IDGRUPOITEM	29	bigint"
"useall_silver	atendimentodereq_silver	IDATENDREQMATITEM	30	bigint"
"useall_silver	atendimentodereq_silver	IDGRUPOPAI	31	numeric"
"useall_silver	atendimentodereq_silver	DESC_GRUPO	32	text"
"useall_silver	atendimentodereq_silver	EMPREGADO_ATEND	33	text"
"useall_silver	atendimentodereq_silver	IDCONTACDC	34	numeric"
"useall_silver	atendimentodereq_silver	IDCONTACAR	35	text"
"useall_silver	atendimentodereq_silver	DESCRICAOCONTACDC	36	text"
"useall_silver	atendimentodereq_silver	CLASSIFICACAOCDC	37	text"
"useall_silver	atendimentodereq_silver	DESCRICAOCONTACAR	38	text"
"useall_silver	atendimentodereq_silver	CLASSIFICACAOCAR	39	text"
"useall_silver	atendimentodereq_silver	ESTOQUEFECHADO	40	numeric"
"useall_silver	atendimentodereq_silver	CUSTOMEDIO	41	numeric"
"useall_silver	atendimentodereq_silver	QUANTLOTE	42	numeric"
"useall_silver	atendimentodereq_silver	QUANT_ATEND_LOTE	43	numeric"
"useall_silver	atendimentodereq_silver	NUMLOTE	44	boolean"
"useall_silver	atendimentodereq_silver	IDREQMATTENANT	45	numeric"
"useall_silver	cidades_silver	IDCIDADE	1	bigint"
"useall_silver	cidades_silver	DATAHORAALTERACAO	2	timestamp without time zone"
"useall_silver	cidades_silver	NOME	3	text"
"useall_silver	cidades_silver	MUNICIPIO_IBGE	4	bigint"
"useall_silver	cidades_silver	IDNFSE	5	numeric"
"useall_silver	cidades_silver	CODIGORFB	6	numeric"
"useall_silver	cidades_silver	DATAHORACAD	7	timestamp without time zone"
"useall_silver	cidades_silver	CODIBGE	8	bigint"
"useall_silver	cidades_silver	SIGLA	9	text"
"useall_silver	clientesfornecedore_silver	IDCLIFOREMP	1	bigint"
"useall_silver	clientesfornecedore_silver	DATAHORAALTERACAO	2	timestamp without time zone"
"useall_silver	clientesfornecedore_silver	IDCLIFOREMPTENANT	3	bigint"
"useall_silver	clientesfornecedore_silver	DATAHORACAD	4	text"
"useall_silver	clientesfornecedore_silver	NOMEFANTASIA	5	text"
"useall_silver	clientesfornecedore_silver	RAZAOSOCIAL	6	text"
"useall_silver	clientesfornecedore_silver	CNPJCPF	7	bigint"
"useall_silver	clientesfornecedore_silver	FONE	8	text"
"useall_silver	clientesfornecedore_silver	EMAIL	9	text"
"useall_silver	clientesfornecedore_silver	IE	10	text"
"useall_silver	clientesfornecedore_silver	RG	11	text"
"useall_silver	clientesfornecedore_silver	OBS	12	text"
"useall_silver	clientesfornecedore_silver	ISUFRAMA	13	bigint"
"useall_silver	clientesfornecedore_silver	ATIVO	14	boolean"
"useall_silver	clientesfornecedore_silver	CONTRIBICMS	15	boolean"
"useall_silver	clientesfornecedore_silver	IDTRANSP	16	numeric"
"useall_silver	clientesfornecedore_silver	CEP	17	text"
"useall_silver	clientesfornecedore_silver	IDCIDADE	18	bigint"
"useall_silver	clientesfornecedore_silver	ENDERECO	19	text"
"useall_silver	clientesfornecedore_silver	NUMENDERECO	20	text"
"useall_silver	clientesfornecedore_silver	BAIRRO	21	text"
"useall_silver	clientesfornecedore_silver	COMPLENDERECO	22	text"
"useall_silver	clientesfornecedore_silver	CEPENT	23	text"
"useall_silver	clientesfornecedore_silver	IDCIDADEENT	24	bigint"
"useall_silver	clientesfornecedore_silver	ENDERECOENT	25	text"
"useall_silver	clientesfornecedore_silver	NUMENDERECOENT	26	text"
"useall_silver	clientesfornecedore_silver	BAIRROENT	27	text"
"useall_silver	clientesfornecedore_silver	COMPLENDERECOENT	28	text"
"useall_silver	clientesfornecedore_silver	CEPCOB	29	text"
"useall_silver	clientesfornecedore_silver	IDCIDADECOB	30	bigint"
"useall_silver	clientesfornecedore_silver	ENDERECOCOB	31	text"
"useall_silver	clientesfornecedore_silver	NUMENDERECOCOB	32	text"
"useall_silver	clientesfornecedore_silver	BAIRROCOB	33	text"
"useall_silver	clientesfornecedore_silver	COMPLENDERECOCOB	34	text"
"useall_silver	clientesfornecedore_silver	LATITUDE	35	numeric"
"useall_silver	clientesfornecedore_silver	LONGITUDE	36	numeric"
"useall_silver	clientesfornecedore_silver	DATALIMCREDITO	37	text"
"useall_silver	clientesfornecedore_silver	VALORLIMCREDITO	38	numeric"
"useall_silver	clientesfornecedore_silver	IDRISCOCREDITO	39	numeric"
"useall_silver	clientesfornecedore_silver	IDTABPRECOVENDA	40	numeric"
"useall_silver	clientesfornecedore_silver	IDCONDPAGTO	41	numeric"
"useall_silver	clientesfornecedore_silver	IDFORMAPAGTO	42	numeric"
"useall_silver	clientesfornecedore_silver	IDVENDEDOR	43	numeric"
"useall_silver	clientesfornecedore_silver	IDSUPERVISOR	44	numeric"
"useall_silver	clientesfornecedore_silver	SEGMENTO	45	text"
"useall_silver	clientesfornecedore_silver	IDPAIS	46	boolean"
"useall_silver	clientesfornecedore_silver	CLIENTE	47	text"
"useall_silver	clientesfornecedore_silver	EMPREGADO	48	text"
"useall_silver	clientesfornecedore_silver	FORNECEDOR	49	text"
"useall_silver	clientesfornecedore_silver	VENDEDOR_REPRESENTANTE	50	text"
"useall_silver	clientesfornecedore_silver	TRANSPORTADOR	51	text"
"useall_silver	clientesfornecedore_silver	TIPOPESSOA	52	text"
"useall_silver	clientesfornecedore_silver	REGIMETRIB	53	text"
"useall_silver	clientesfornecedore_silver	TIPOFRETE	54	text"
"useall_silver	empresas_silver	IDEMPRESA	1	bigint"
